number,value,datetime_start,datetime_complete,duration,params_learning_rate_TTA,state
0,1.0547873016238296,2025-06-01 17:01:54.814892,2025-06-01 17:01:58.631283,0 days 00:00:03.816391,4.30045882928626e-05,COMPLETE
1,1.0549195219499428,2025-06-01 17:01:54.817633,2025-06-01 17:01:58.615657,0 days 00:00:03.798024,1.807561331389452e-05,COMPLETE
2,1.0548982709288968,2025-06-01 17:01:54.827385,2025-06-01 17:01:58.584387,0 days 00:00:03.757002,1.9048132203927846e-05,COMPLETE
3,13822.884303568375,2025-06-01 17:01:54.827385,2025-06-01 17:01:58.600032,0 days 00:00:03.772647,0.30587804655853623,COMPLETE
4,5.6337409283690025,2025-06-01 17:01:54.844871,2025-06-01 17:01:58.571872,0 days 00:00:03.727001,0.02131914477356256,COMPLETE
5,12.1116587046547,2025-06-01 17:01:54.847876,2025-06-01 17:01:58.646911,0 days 00:00:03.799035,0.037392731154779556,COMPLETE
6,1.181333536278488,2025-06-01 17:01:58.584387,2025-06-01 17:02:03.922246,0 days 00:00:05.337859,0.0036598016431833714,COMPLETE
7,283.57929561320805,2025-06-01 17:01:58.600032,2025-06-01 17:02:03.906130,0 days 00:00:05.306098,0.11511603146105594,COMPLETE
8,1.1828475342954683,2025-06-01 17:01:58.615657,2025-06-01 17:02:03.953604,0 days 00:00:05.337947,0.004039989138421806,COMPLETE
9,1297.7299263606426,2025-06-01 17:01:58.646911,2025-06-01 17:02:03.939328,0 days 00:00:05.292417,0.21595504706141147,COMPLETE
10,3.0076184078853014,2025-06-01 17:01:58.678159,2025-06-01 17:02:03.933267,0 days 00:00:05.255108,0.016879747469294097,COMPLETE
11,1.0547437338710541,2025-06-01 17:01:58.684684,2025-06-01 17:02:03.955692,0 days 00:00:05.271008,0.00015640037615718673,COMPLETE
12,1.0548761077420654,2025-06-01 17:02:03.923334,2025-06-01 17:02:09.098639,0 days 00:00:05.175305,5.052224667654306e-05,COMPLETE
13,6376.458966974522,2025-06-01 17:02:03.939328,2025-06-01 17:02:09.123007,0 days 00:00:05.183679,0.2975263598912306,COMPLETE
14,1.0546351165263452,2025-06-01 17:02:03.955692,2025-06-01 17:02:09.131243,0 days 00:00:05.175551,0.00020565133307927377,COMPLETE
15,1.05513827037213,2025-06-01 17:02:03.988892,2025-06-01 17:02:09.082993,0 days 00:00:05.094101,0.0001944359258006491,COMPLETE
16,1.0547815339071573,2025-06-01 17:02:04.006606,2025-06-01 17:02:09.123007,0 days 00:00:05.116401,0.00017043467035444555,COMPLETE
17,1.0556081016499632,2025-06-01 17:02:04.022333,2025-06-01 17:02:09.098639,0 days 00:00:05.076306,0.00018355719204970575,COMPLETE
18,1.0550271150479353,2025-06-01 17:02:09.098639,2025-06-01 17:02:13.962027,0 days 00:00:04.863388,0.00020481385727489314,COMPLETE
19,1.0633103117103755,2025-06-01 17:02:09.137828,2025-06-01 17:02:13.977692,0 days 00:00:04.839864,0.0007679284401158543,COMPLETE
20,1.058616644644263,2025-06-01 17:02:09.177815,2025-06-01 17:02:13.977692,0 days 00:00:04.799877,0.0005439534839410804,COMPLETE
21,1.0587785861778296,2025-06-01 17:02:09.223606,2025-06-01 17:02:13.993281,0 days 00:00:04.769675,0.0007700129989560673,COMPLETE
22,1.0572033533378657,2025-06-01 17:02:09.269637,2025-06-01 17:02:13.977692,0 days 00:00:04.708055,0.0007153504475404669,COMPLETE
23,1.05671315001681,2025-06-01 17:02:09.296700,2025-06-01 17:02:13.993281,0 days 00:00:04.696581,0.0005939532689587072,COMPLETE
24,1.060513097489731,2025-06-01 17:02:13.962027,2025-06-01 17:02:19.015763,0 days 00:00:05.053736,0.000979453803802899,COMPLETE
25,1.054886574012806,2025-06-01 17:02:13.993281,2025-06-01 17:02:19.000116,0 days 00:00:05.006835,7.601235938269765e-05,COMPLETE
26,1.0548424918729793,2025-06-01 17:02:14.012833,2025-06-01 17:02:19.000116,0 days 00:00:04.987283,8.735085377540853e-05,COMPLETE
27,1.0547285961067656,2025-06-01 17:02:14.029468,2025-06-01 17:02:19.015763,0 days 00:00:04.986295,7.728176322319524e-05,COMPLETE
28,1.054968227462579,2025-06-01 17:02:14.045108,2025-06-01 17:02:19.000116,0 days 00:00:04.955008,7.839176530494168e-05,COMPLETE
29,1.0547542425156644,2025-06-01 17:02:14.076348,2025-06-01 17:02:19.015763,0 days 00:00:04.939415,8.575347261348878e-05,COMPLETE
